,Brands,Type,Ton,Star,Price_Range(₹),Avg_star_Range,Available
4104507,Voltas,Split,1.0,3.0,"(45000, 50000]","(3.5, 4.0]",1
4104508,Voltas,Split,1.0,3.0,"(45000, 50000]","(4.0, 4.5]",1
4107689,Voltas,Split,1.5,2.0,"(60000, 65000]","(4.5, 5.0]",1
4107878,Voltas,Split,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",3
4110428,Voltas,Split,2.0,3.0,"(65000, 70000]","(4.0, 4.5]",1
4144827,Voltas,Split Inverter,1.0,3.0,"(45000, 50000]","(3.5, 4.0]",2
4144828,Voltas,Split Inverter,1.0,3.0,"(45000, 50000]","(4.0, 4.5]",2
4145267,Voltas,Split Inverter,1.0,5.0,"(55000, 60000]","(3.5, 4.0]",1
4145678,Voltas,Split Inverter,1.2,3.0,"(50000, 55000]","(4.0, 4.5]",1
4148196,Voltas,Split Inverter,1.5,3.0,"(50000, 55000]","(3.0, 3.5]",1
4148199,Voltas,Split Inverter,1.5,3.0,"(50000, 55000]","(4.5, 5.0]",1
4148206,Voltas,Split Inverter,1.5,3.0,"(55000, 60000]","(3.0, 3.5]",1
4148208,Voltas,Split Inverter,1.5,3.0,"(55000, 60000]","(4.0, 4.5]",4
4148216,Voltas,Split Inverter,1.5,3.0,"(60000, 65000]","(3.0, 3.5]",1
4148218,Voltas,Split Inverter,1.5,3.0,"(60000, 65000]","(4.0, 4.5]",1
4148418,Voltas,Split Inverter,1.5,4.0,"(55000, 60000]","(4.0, 4.5]",2
4148437,Voltas,Split Inverter,1.5,4.0,"(65000, 70000]","(3.5, 4.0]",2
4148638,Voltas,Split Inverter,1.5,5.0,"(60000, 65000]","(4.0, 4.5]",1
4148648,Voltas,Split Inverter,1.5,5.0,"(65000, 70000]","(4.0, 4.5]",3
4149068,Voltas,Split Inverter,1.6,3.0,"(65000, 70000]","(4.0, 4.5]",1
4150757,Voltas,Split Inverter,2.0,3.0,"(70000, 75000]","(3.5, 4.0]",1
4150767,Voltas,Split Inverter,2.0,3.0,"(75000, 80000]","(3.5, 4.0]",1
4151198,Voltas,Split Inverter,2.0,5.0,"(80000, 85000]","(4.0, 4.5]",1
4195618,Voltas,Window,1.0,5.0,"(30000, 35000]","(4.0, 4.5]",1
4198558,Voltas,Window,1.5,3.0,"(30000, 35000]","(4.0, 4.5]",2
4198978,Voltas,Window,1.5,5.0,"(30000, 35000]","(4.0, 4.5]",2
4245608,Whirlpool,Split,1.0,3.0,"(35000, 40000]","(4.0, 4.5]",1
4245828,Whirlpool,Split,1.0,4.0,"(40000, 45000]","(4.0, 4.5]",1
4248978,Whirlpool,Split,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",2
4285938,Whirlpool,Split Inverter,1.0,3.0,"(40000, 45000]","(4.0, 4.5]",2
4285948,Whirlpool,Split Inverter,1.0,3.0,"(45000, 50000]","(4.0, 4.5]",1
4285949,Whirlpool,Split Inverter,1.0,3.0,"(45000, 50000]","(4.5, 5.0]",1
4285958,Whirlpool,Split Inverter,1.0,3.0,"(50000, 55000]","(4.0, 4.5]",2
4286378,Whirlpool,Split Inverter,1.0,5.0,"(50000, 55000]","(4.0, 4.5]",1
4286388,Whirlpool,Split Inverter,1.0,5.0,"(55000, 60000]","(4.0, 4.5]",1
4286398,Whirlpool,Split Inverter,1.0,5.0,"(60000, 65000]","(4.0, 4.5]",1
4289298,Whirlpool,Split Inverter,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",1
4289308,Whirlpool,Split Inverter,1.5,3.0,"(45000, 50000]","(4.0, 4.5]",1
4289317,Whirlpool,Split Inverter,1.5,3.0,"(50000, 55000]","(3.5, 4.0]",1
4289318,Whirlpool,Split Inverter,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",2
4289338,Whirlpool,Split Inverter,1.5,3.0,"(60000, 65000]","(4.0, 4.5]",3
4289758,Whirlpool,Split Inverter,1.5,5.0,"(60000, 65000]","(4.0, 4.5]",1
4289769,Whirlpool,Split Inverter,1.5,5.0,"(65000, 70000]","(4.5, 5.0]",1
4289778,Whirlpool,Split Inverter,1.5,5.0,"(70000, 75000]","(4.0, 4.5]",1
4299398,Whirlpool,Split Inverter Smart,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
