,Brands,Type,Ton,Star,Price_Range(₹),Avg_star_Range,Available
616828,Daikin,Split Inverter,1.0,3.0,"(45000, 50000]","(4.0, 4.5]",1
617028,Daikin,Split Inverter,1.0,4.0,"(40000, 45000]","(4.0, 4.5]",1
617038,Daikin,Split Inverter,1.0,4.0,"(45000, 50000]","(4.0, 4.5]",1
617247,Daikin,Split Inverter,1.0,5.0,"(45000, 50000]","(3.5, 4.0]",1
617258,Daikin,Split Inverter,1.0,5.0,"(50000, 55000]","(4.0, 4.5]",1
617268,Daikin,Split Inverter,1.0,5.0,"(55000, 60000]","(4.0, 4.5]",2
620178,Daikin,Split Inverter,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",1
620187,Daikin,Split Inverter,1.5,3.0,"(45000, 50000]","(3.5, 4.0]",1
620198,Daikin,Split Inverter,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",3
620217,Daikin,Split Inverter,1.5,3.0,"(60000, 65000]","(3.5, 4.0]",1
620408,Daikin,Split Inverter,1.5,4.0,"(50000, 55000]","(4.0, 4.5]",1
620618,Daikin,Split Inverter,1.5,5.0,"(50000, 55000]","(4.0, 4.5]",2
620638,Daikin,Split Inverter,1.5,5.0,"(60000, 65000]","(4.0, 4.5]",2
620648,Daikin,Split Inverter,1.5,5.0,"(65000, 70000]","(4.0, 4.5]",3
621907,Daikin,Split Inverter,1.8,3.0,"(65000, 70000]","(3.5, 4.0]",1
622108,Daikin,Split Inverter,1.8,4.0,"(60000, 65000]","(4.0, 4.5]",1
622328,Daikin,Split Inverter,1.8,5.0,"(65000, 70000]","(4.0, 4.5]",1
622356,Daikin,Split Inverter,1.8,5.0,"(80000, 85000]","(3.0, 3.5]",1
623835,Daikin,Split Inverter,2.02,4.0,"(85000, 90000]","(2.5, 3.0]",1
670558,Daikin,Window,1.5,3.0,"(30000, 35000]","(4.0, 4.5]",1
670988,Daikin,Window,1.5,5.0,"(35000, 40000]","(4.0, 4.5]",1
899048,Godrej,Split Inverter,1.0,3.0,"(35000, 40000]","(4.0, 4.5]",1
899057,Godrej,Split Inverter,1.0,3.0,"(40000, 45000]","(3.5, 4.0]",1
899058,Godrej,Split Inverter,1.0,3.0,"(40000, 45000]","(4.0, 4.5]",1
899488,Godrej,Split Inverter,1.0,5.0,"(45000, 50000]","(4.0, 4.5]",1
902418,Godrej,Split Inverter,1.5,3.0,"(40000, 45000]","(4.0, 4.5]",1
902426,Godrej,Split Inverter,1.5,3.0,"(45000, 50000]","(3.0, 3.5]",1
902428,Godrej,Split Inverter,1.5,3.0,"(45000, 50000]","(4.0, 4.5]",1
902438,Godrej,Split Inverter,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
902448,Godrej,Split Inverter,1.5,3.0,"(55000, 60000]","(4.0, 4.5]",1
902458,Godrej,Split Inverter,1.5,3.0,"(60000, 65000]","(4.0, 4.5]",1
902858,Godrej,Split Inverter,1.5,5.0,"(50000, 55000]","(4.0, 4.5]",1
902888,Godrej,Split Inverter,1.5,5.0,"(65000, 70000]","(4.0, 4.5]",1
905426,Godrej,Split Inverter,2.0,5.0,"(75000, 80000]","(3.0, 3.5]",1
955329,Godrej,Window,2.0,3.0,"(35000, 40000]","(4.5, 5.0]",1
999038,Haier,Split,0.9,3.0,"(50000, 55000]","(4.0, 4.5]",1
999868,Haier,Split,1.0,3.0,"(45000, 50000]","(4.0, 4.5]",1
1003238,Haier,Split,1.5,3.0,"(50000, 55000]","(4.0, 4.5]",1
1039354,Haier,Split Inverter,0.9,3.0,"(50000, 55000]","(2.0, 2.5]",1
1041888,Haier,Split Inverter,1.25,3.0,"(55000, 60000]","(4.0, 4.5]",1
1043569,Haier,Split Inverter,1.5,3.0,"(55000, 60000]","(4.5, 5.0]",1
1043998,Haier,Split Inverter,1.5,5.0,"(60000, 65000]","(4.0, 4.5]",1
1086536,Haier,Tower Inverter,2.0,3.0,"(120000, 125000]","(3.0, 3.5]",1
1093928,Haier,Window,1.5,3.0,"(35000, 40000]","(4.0, 4.5]",1
1144345,Hitachi,Split,1.5,3.0,"(45000, 50000]","(2.5, 3.0]",1
1144347,Hitachi,Split,1.5,3.0,"(45000, 50000]","(3.5, 4.0]",1
1144348,Hitachi,Split,1.5,3.0,"(45000, 50000]","(4.0, 4.5]",1
1174587,Hitachi,Split Expandable,1.5,3.0,"(45000, 50000]","(3.5, 4.0]",1
