,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Power_Consumption,Refrigerant,Wi_Fi Enabled,Warranty,Ratings_Count,Reviews_Count,Avg_star,Offer_Price,Actual_Price
714,TOSHIBA, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1570 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on product, 5 year on Compressor",1,1,1,"₹49,000","₹62,000"
716,Voltas, 1.5 Ton, 5 Star,window ,White,,Noise level: 54 dB,Power Consumption: 1495 W,Refrigerant: R-22,Wi-Fi Enabled: No,1 Year on Product and 4 Years on Compressor,63,5,4.2,"₹32,499","₹32,890"
717,TOSHIBA, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 39 dB,Power Consumption: 1660 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on product, 5 year on Compressor",19,4,3.9,"₹40,500","₹54,300"
718,SAMSUNG, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 42 dB,Power Consumption: 494.56 W,,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on Condenser and 10 Years on Compressor",6,0,4.8,"₹43,599","₹54,990"
720,Midea, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 33 dB,Power Consumption: 1170 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,nan,,,"₹29,999","₹50,190"
721,Gazhal, 1.5 Ton,,split inverter ,Off White,,,,,Wi-Fi Enabled: No,,nan,,,"₹35,749","₹44,480"
722,LG, 1.5 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 818.81 kWh,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from LG",11,2,3.5,"₹44,990","₹69,990"
724,Godrej, 2 Ton, 5 Star,split inverter ,"White, Black",Copper,Noise level: 51 dB,Power Consumption: 1047.53 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and Condenser Coil Warranty and 10 Years on Compressor from Godrej,18,6,3.4,"₹52,999","₹77,900"
725,Panasonic, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 48 dB,Power Consumption: 840.75 kWh,,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compresser,nan,,,"₹41,590","₹54,500"
726,Gazhal, 1.5 Ton,,split ,Off White,,,,,Wi-Fi Enabled: No,,nan,,,"₹33,749","₹41,980"
728,Gazhal, 1 Ton,,split inverter ,Off White,,,,,Wi-Fi Enabled: No,,nan,,,"₹35,995","₹44,980"
729,Haier, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 41 dB,Power Consumption: 1451 W,Refrigerant: R32,Wi-Fi Enabled: No,5 Years Comprehensive Warranty (Including Gas) and 12 Years Compressor Warranty from Haier,nan,,,"₹38,490","₹68,490"
730,Gazhal, 1 Ton,,split inverter ,Off White,,,,,Wi-Fi Enabled: No,,nan,,,"₹34,499","₹41,980"
732,Haier, 2 Ton, 3 Star,tower inverter ,Silver,,,,,Wi-Fi Enabled: Yes,,4,2,3.3,"₹1,23,500",
733,Haier, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 29 dB,Power Consumption: 1089 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 12 Years on Compressor,nan,,,"₹65,990",
734,Daikin, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 26 dB,Power Consumption: 999 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor From Daikin,20,1,3.7,"₹36,700","₹47,700"
736,TOSHIBA, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1230 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on product, 5 year on Compressor",1,1,1,"₹55,990","₹71,280"
737,Daikin, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 824.08 kWh,,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compresser,nan,,,"₹45,499","₹55,000"
738,O General, 2 Ton, 5 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 2140 W,,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years On Compressor,nan,,,"₹72,940",
740,Hitachi, 1.5 Ton, 3 Star,window inverter ,White,Copper,Noise level: 50 dB,Power Consumption: 1279.02 W,Refrigerant: R410A,Wi-Fi Enabled: No,"1 years Comprehensive warranty, 10 years on Compressor",60,10,3.5,"₹32,490","₹34,790"
741,TOSHIBA, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 36 dB,Power Consumption: 1050 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on product, 5 year on Compressor",3,0,3.7,"₹39,000","₹50,000"
742,Godrej, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 1056.34 kWh,Refrigerant: R290A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,9,0,3.2,"₹32,320","₹45,990"
744,Croma, 1.5 Ton,,portable ,White,Copper,Noise level: 56 dB,Power Consumption: 2300 W,Refrigerant: R410A,Wi-Fi Enabled: No,1 Year Warranty on Machine from Croma,20,3,3.6,"₹39,990","₹45,000"
745,Daikin, 2.02 Ton, 4 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 2410 W,Refrigerant: R-32A,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor",8,0,3,"₹62,990","₹86,800"
746,Daikin, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 51 dB,Power Consumption: 1110 W,,Wi-Fi Enabled: No,1 Year Warranty on Product,60,10,4,"₹30,790","₹44,300"
748,Hitachi, 2 Ton, 2 Star,window inverter ,White,,,,,Wi-Fi Enabled: No,,6,2,2.7,"₹34,490","₹34,990"
749,Hitachi, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 37 dB,Power Consumption: 1200 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor From Hitachi,25,4,2.9,"₹32,799","₹43,800"
750,Hitachi, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 94 dB,Power Consumption: 1475 W,,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor from Hitachi,7,1,2.6,"₹35,990","₹47,690"
752,Hitachi, 1.5 Ton, 3 Star,split inverter ,Gold,,,,,Wi-Fi Enabled: No,,6,0,3.3,"₹36,999","₹45,000"
753,Voltas, 1.5 Ton, 3 Star,split inverter ,White,,,,,Wi-Fi Enabled: Yes,,15,2,3.4,"₹34,490","₹59,390"
754,ONIDA, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 28 dB,Power Consumption: 985 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year warranty on product & 5 years on Compressor from Onida,6,0,2.8,"₹27,490","₹45,990"
