,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Power_Consumption,Refrigerant,Wi_Fi Enabled,Warranty,Ratings_Count,Reviews_Count,Avg_star,Offer_Price,Actual_Price
614,CARRIER, 1.5 Ton, 5 Star,window ,White,Copper,Noise level: 50 dB,Power Consumption: 1582 W,,Wi-Fi Enabled: No,1 Year on Complete Unit and 5 Years on Compressor,284,37,4.3,"₹36,990","₹38,990"
616,Voltas, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 52 dB,Power Consumption: 1590 W,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Voltas,"3,818",319,4.2,"₹34,990","₹59,190"
617,Croma, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1740 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty and 10 Years on Compressor,nan,,,"₹35,990","₹45,000"
618,Nokia 4 in 1 Convertible Cooling, 1.5 Ton, 3 Star,split triple inverter smart,W...,Copper,Noise level: 38 dB,Power Consumption: 1009 kWh,Refrigerant: R32,Wi-Fi Enabled: Yes,1 Year on Product and 5 Years on Compressor,479,95,4.2,"₹31,990","₹51,799"
620,Hitachi, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 585.85 kWh,,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor,nan,,,"₹37,950","₹54,600"
621,Haier, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 50 dB,Power Consumption: 1495 W,,Wi-Fi Enabled: No,1 Year on Product and Condenser and 10 Years on Compressor From Haier,153,18,4.1,"₹29,962","₹40,000"
622,Panasonic, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 48 dB,Power Consumption: 1650 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Comprehensive and 10 Years on Compressor Warranty from Panasonic,152,22,4.5,"₹43,000","₹53,000"
624,Daikin, 1.8 Ton, 3 Star,split inverter ,White,Copper,Noise level: 56 dB,Power Consumption: 2000 W,,Wi-Fi Enabled: No,1 Year Warranty on Product,28,4,4,"₹52,382","₹66,000"
625,Panasonic, 1 Ton, 4 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1050 W,,Wi-Fi Enabled: Yes,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹38,900","₹48,500"
626,Panasonic, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 43 dB,Power Consumption: 1000 W,Refrigerant: R-32,Wi-Fi Enabled: Yes,"1 Year Comprehensive Warranty, 4 Years on PCB, 9 Years on Compressor and 4 Years on ODU Casing",122,25,4.3,"₹44,990","₹61,400"
